time;ToF[cm]
1657808042.9755647;30.7
1657808042.9775126;30.7
1657808042.982123;30.8
1657808042.9844632;30.8
1657808042.9887846;30.8
1657808042.9916775;30.8
1657808042.994235;30.8
1657808042.9971957;30.8
1657808042.999453;30.8
1657808043.00161;30.8
1657808043.0036347;30.8
1657808043.0055766;30.8
1657808043.007583;30.8
1657808043.0095286;30.8
1657808043.0115166;30.8
1657808043.0131993;30.8
1657808043.014866;30.8
1657808043.0165362;30.8
1657808043.0181582;30.8
1657808043.0202742;30.8
1657808043.0219278;30.8
1657808043.023567;30.8
1657808043.025222;30.8
1657808043.0268464;30.8
1657808043.028509;30.8
1657808043.0303524;30.8
1657808043.032441;30.8
1657808043.0344882;30.8
1657808043.036225;30.8
1657808043.0380845;30.8
1657808043.0399418;30.8
1657808043.0451095;30.8
1657808043.0473232;30.8
1657808043.0502;30.8
1657808043.0521884;30.8
1657808043.0541508;30.8
1657808043.0562544;30.8
1657808043.058343;30.8
1657808043.0603175;30.8
1657808043.0630705;30.8
1657808043.0655339;30.8
1657808043.0685647;30.8
1657808043.072597;30.8
1657808043.0774431;30.8
1657808043.0795946;30.8
1657808043.0821574;30.8
1657808043.0854526;30.8
1657808043.0883942;30.8
1657808043.0906076;30.8
1657808043.0929306;30.8
1657808043.0949256;30.8
1657808043.096913;30.8
1657808043.0990076;30.8
1657808043.1011238;30.8
1657808043.1030908;30.8
1657808043.1053815;30.8
1657808043.1083298;30.8
1657808043.1108892;30.8
1657808043.1133196;30.8
1657808043.1152148;30.8
1657808043.11786;30.8
1657808043.1200569;30.8
1657808043.1241033;30.8
1657808043.1266222;30.8
1657808043.1292248;30.8
1657808043.1313953;30.8
1657808043.1338284;30.8
1657808043.1361198;30.8
1657808043.1383953;30.8
1657808043.140683;30.8
1657808043.1431327;30.8
1657808043.1450922;30.8
1657808043.1469975;30.8
1657808043.1494372;30.8
1657808043.151553;30.8
1657808043.1556127;30.8
1657808043.15781;30.8
1657808043.1601272;30.8
1657808043.162152;30.8
1657808043.1640546;30.8
1657808043.1667733;30.8
1657808043.168801;30.8
1657808043.1747506;30.8
1657808043.1780756;30.8
1657808043.1799223;30.8
1657808043.1817095;30.8
1657808043.1834831;30.8
1657808043.185382;30.8
1657808043.187492;30.8
1657808043.189444;30.8
1657808043.1911626;30.8
1657808043.192812;30.8
1657808043.1948905;30.8
1657808043.1984208;30.8
1657808043.2003937;30.8
1657808043.202264;30.8
1657808043.2042553;30.8
1657808043.2066386;30.8
1657808043.2092204;30.8
1657808043.2116048;30.8
1657808043.2137544;30.8
1657808043.2154531;30.8
1657808043.2171357;30.8
1657808043.218842;30.8
1657808043.2205253;30.8
1657808043.2251947;30.8
1657808043.228397;30.8
1657808043.230429;30.8
1657808043.2325149;30.8
1657808043.234568;30.8
1657808043.2365558;30.8
1657808043.238451;30.8
1657808043.2407315;30.8
1657808043.2427628;30.8
1657808043.2447085;30.8
1657808043.2466304;30.8
1657808043.2486885;30.8
1657808043.2505095;30.8
1657808043.2524314;30.8
1657808043.2542357;30.8
1657808043.2597408;30.8
1657808043.2625098;30.8
1657808043.2660904;30.8
1657808043.2704425;30.6
1657808043.272432;30.6
1657808043.2744958;30.6
1657808043.27659;30.6
1657808043.2786255;30.6
1657808043.2810266;30.6
1657808043.2839348;30.6
1657808043.2865307;30.6
1657808043.2904723;30.6
1657808043.2931683;30.6
1657808043.2955651;30.6
1657808043.2979715;30.6
1657808043.300907;30.6
1657808043.3031754;30.6
1657808043.305831;30.6
1657808043.308081;30.6
1657808043.3109877;30.6
1657808043.3129306;30.6
1657808043.3148868;30.6
1657808043.317114;30.6
1657808043.3191946;30.6
1657808043.321406;30.6
1657808043.3234951;30.6
1657808043.3256319;30.6
1657808043.3276033;30.6
1657808043.329535;30.6
1657808043.3314948;30.6
