time;ToF[cm]
1657807892.9143908;30.6
1657807892.9158742;30.6
1657807892.91737;30.6
1657807892.9187686;30.6
1657807892.920128;30.6
1657807892.921378;30.6
1657807892.922614;30.6
1657807892.9238527;30.6
1657807892.9250844;30.6
1657807892.9263186;30.6
1657807892.9275517;30.6
1657807892.928782;30.6
1657807892.9300177;30.6
1657807892.9312475;30.6
1657807892.9324765;30.6
1657807892.9337387;30.6
1657807892.9350073;30.6
1657807892.9362454;30.6
1657807892.9374783;30.6
1657807892.9387093;30.6
1657807892.939953;30.6
1657807892.9411888;30.6
1657807892.9424202;30.6
1657807892.9436495;30.6
1657807892.9448826;30.6
1657807892.9461114;30.6
1657807892.9490445;30.6
1657807892.9503195;30.6
1657807892.9515514;30.6
1657807892.952784;30.6
1657807892.9540126;30.6
1657807892.955241;30.6
1657807892.9564674;30.6
1657807892.9576952;30.6
1657807892.9589238;30.6
1657807892.9601576;30.6
1657807892.961395;30.6
1657807892.962625;30.6
1657807892.9638686;30.6
1657807892.9651015;30.6
1657807892.9663308;30.6
1657807892.967559;30.6
1657807892.9687884;30.6
1657807892.9700186;30.6
1657807892.9712496;30.6
1657807892.9724898;30.6
1657807892.9737372;30.6
1657807892.9749722;30.6
1657807892.9762015;30.6
1657807892.9774327;30.6
1657807892.9786625;30.6
1657807892.9799008;30.6
1657807892.9811358;30.6
1657807892.9823666;30.6
1657807892.983595;30.6
1657807892.984827;30.6
1657807892.986057;30.6
1657807892.9872828;30.6
1657807892.9885142;30.6
1657807892.989772;30.6
1657807892.9910057;30.6
1657807892.992237;30.6
1657807892.9934666;30.6
1657807892.9947262;30.6
1657807892.9959533;30.6
1657807892.9971805;30.6
1657807892.9984162;30.6
1657807892.999649;30.6
1657807893.0008833;30.6
1657807893.0021122;30.6
1657807893.0033462;30.6
1657807893.0046506;30.6
1657807893.0058892;30.6
1657807893.0071197;30.6
1657807893.0083494;30.6
1657807893.0095806;30.6
1657807893.010811;30.6
1657807893.012039;30.6
1657807893.0132675;30.6
1657807893.0144951;30.6
1657807893.0157247;30.6
1657807893.0169544;30.6
1657807893.018187;30.6
1657807893.0194151;30.6
1657807893.0206444;30.6
1657807893.021874;30.6
1657807893.0231066;30.6
1657807893.0243332;30.6
1657807893.025569;30.6
1657807893.026797;30.6
1657807893.0280275;30.6
1657807893.029378;30.6
1657807893.030879;30.6
1657807893.032297;30.6
1657807893.0337436;30.6
1657807893.0351255;30.6
1657807893.036508;30.6
1657807893.037913;30.6
1657807893.0392022;30.6
1657807893.0405214;30.6
1657807893.0421638;30.6
1657807893.0458434;30.6
1657807893.0474446;30.6
1657807893.0491672;30.6
1657807893.050783;30.6
1657807893.0523553;30.6
1657807893.0539277;30.6
1657807893.055484;30.6
1657807893.056954;30.6
1657807893.0584998;30.6
1657807893.0599816;30.6
1657807893.0613523;30.6
1657807893.0627139;30.6
1657807893.0640996;30.6
1657807893.0655982;30.6
1657807893.0677712;30.6
1657807893.069476;30.6
1657807893.0716662;30.6
1657807893.073236;30.6
1657807893.07489;30.6
1657807893.076378;30.6
1657807893.0778558;30.6
1657807893.079572;30.6
1657807893.0813203;30.6
1657807893.082797;30.6
1657807893.0842211;30.6
1657807893.0856712;30.6
1657807893.0875533;30.6
1657807893.089243;30.6
1657807893.0908084;30.6
1657807893.0925984;30.6
1657807893.0943134;30.6
1657807893.0958712;30.6
1657807893.0971622;30.6
1657807893.0984313;30.6
1657807893.0997252;30.6
1657807893.1009934;30.6
1657807893.1022458;30.6
1657807893.1043715;30.6
1657807893.1057868;30.6
1657807893.1070516;30.6
1657807893.10831;30.6
1657807893.1095722;30.6
1657807893.110833;30.6
1657807893.1120775;30.6
1657807893.1133096;30.6
1657807893.1145425;30.6
1657807893.1157763;30.6
1657807893.117052;30.6
1657807893.1182837;30.6
1657807893.119552;30.6
1657807893.1208441;30.6
1657807893.1221087;30.6
1657807893.1233482;30.6
1657807893.1246157;30.6
1657807893.1259055;30.6
1657807893.1271513;30.6
1657807893.1283872;30.6
1657807893.129655;30.6
1657807893.130909;30.6
1657807893.1321533;30.6
1657807893.1334085;30.6
1657807893.1346865;30.6
1657807893.1359274;30.6
1657807893.137165;30.6
1657807893.140098;30.7
1657807893.1413429;30.7
1657807893.142582;30.7
1657807893.1438146;30.7
1657807893.1450477;30.7
1657807893.1462758;30.7
1657807893.1475086;30.7
1657807893.148738;30.7
1657807893.1499743;30.7
1657807893.1512194;30.7
1657807893.1524491;30.7
1657807893.1536822;30.7
1657807893.1549122;30.7
1657807893.1561737;30.7
1657807893.1574035;30.7
1657807893.1586294;30.7
1657807893.1599002;30.7
1657807893.1611378;30.7
1657807893.1623685;30.7
1657807893.1635978;30.7
1657807893.1648254;30.7
1657807893.1660516;30.7
1657807893.1673787;30.7
1657807893.1687658;30.7
1657807893.17005;30.7
1657807893.1712983;30.7
1657807893.1725328;30.7
1657807893.1737666;30.7
1657807893.1749969;30.7
1657807893.1762724;30.7
1657807893.1775122;30.7
1657807893.1787436;30.7
1657807893.1799772;30.7
1657807893.1812146;30.7
1657807893.1824474;30.7
1657807893.1836774;30.7
1657807893.1849282;30.7
1657807893.1861594;30.7
1657807893.1873865;30.7
1657807893.188614;30.7
1657807893.1898708;30.7
