time;ToF[cm]
1659331897.5982652;15.9
1659331897.5994897;15.9
1659331897.600776;15.9
1659331897.6020412;15.9
1659331897.6050153;15.7
1659331897.6062605;15.7
1659331897.6074915;15.7
1659331897.60872;15.7
1659331897.6099474;15.7
1659331897.6111765;15.7
1659331897.6124036;15.7
1659331897.61363;15.7
1659331897.614859;15.7
1659331897.6160858;15.7
1659331897.6173122;15.7
1659331897.618539;15.7
1659331897.6197665;15.7
1659331897.6209948;15.7
1659331897.62222;15.7
1659331897.6234462;15.7
1659331897.6246772;15.7
1659331897.625908;15.7
1659331897.6271527;15.7
1659331897.6283798;15.7
1659331897.62962;15.7
1659331897.630877;15.7
1659331897.6321087;15.7
1659331897.6333869;15.7
1659331897.6346693;15.7
1659331897.6359062;15.7
1659331897.6371362;15.7
1659331897.6383684;15.7
1659331897.6398213;15.7
1659331897.6411965;15.7
1659331897.64251;15.7
1659331897.643754;15.7
1659331897.6450076;15.7
1659331897.6462471;15.7
1659331897.6474783;15.7
1659331897.6487083;15.7
1659331897.649939;15.7
1659331897.6511676;15.7
1659331897.6523948;15.7
1659331897.653621;15.7
1659331897.6548507;15.7
1659331897.6560917;15.7
1659331897.6573236;15.7
1659331897.658553;15.7
1659331897.65978;15.7
1659331897.6610084;15.7
1659331897.662234;15.7
1659331897.663462;15.7
1659331897.6646893;15.7
1659331897.6659188;15.7
1659331897.6671422;15.7
1659331897.668367;15.7
1659331897.669591;15.7
1659331897.6708186;15.7
1659331897.6720433;15.7
1659331897.67327;15.7
1659331897.6745028;15.7
1659331897.6757345;15.7
1659331897.6769595;15.7
1659331897.6781857;15.7
1659331897.6794112;15.7
1659331897.6807668;15.7
1659331897.6823943;15.7
1659331897.683984;15.7
1659331897.6857114;15.7
1659331897.6870217;15.7
1659331897.68827;15.7
1659331897.6895063;15.7
1659331897.6907434;15.7
1659331897.6919754;15.7
1659331897.6932046;15.7
1659331897.6944456;15.7
1659331897.6957352;15.7
1659331897.697089;15.7
1659331897.6983516;15.7
1659331897.7012858;15.9
1659331897.702524;15.9
1659331897.703754;15.9
1659331897.705014;15.9
1659331897.7062514;15.9
1659331897.7074852;15.9
1659331897.7087145;15.9
1659331897.709946;15.9
1659331897.7111738;15.9
1659331897.712449;15.9
1659331897.7137656;15.9
1659331897.715029;15.9
1659331897.7162595;15.9
1659331897.717493;15.9
1659331897.7187204;15.9
1659331897.719951;15.9
1659331897.7211761;15.9
1659331897.7224042;15.9
1659331897.7236311;15.9
1659331897.7248604;15.9
1659331897.726091;15.9
1659331897.7273252;15.9
1659331897.7285502;15.9
1659331897.729774;15.9
1659331897.731;15.9
1659331897.7322237;15.9
1659331897.733448;15.9
1659331897.7346733;15.9
1659331897.7358997;15.9
1659331897.7371233;15.9
1659331897.7383513;15.9
1659331897.7396457;15.9
1659331897.74088;15.9
1659331897.7421064;15.9
1659331897.7433336;15.9
1659331897.7445638;15.9
1659331897.7457938;15.9
1659331897.7470188;15.9
1659331897.7482429;15.9
1659331897.7494755;15.9
1659331897.750703;15.9
1659331897.751928;15.9
1659331897.7531533;15.9
1659331897.7544475;15.9
1659331897.755688;15.9
1659331897.7569268;15.9
1659331897.7581575;15.9
1659331897.7593844;15.9
1659331897.760609;15.9
1659331897.7618337;15.9
1659331897.7630575;15.9
1659331897.7642827;15.9
1659331897.7655122;15.9
1659331897.7667408;15.9
1659331897.7679663;15.9
1659331897.7691903;15.9
1659331897.7704134;15.9
1659331897.7716389;15.9
1659331897.77322;15.9
1659331897.7744696;15.9
1659331897.7757065;15.9
1659331897.776937;15.9
1659331897.7781668;15.9
1659331897.7793941;15.9
1659331897.7806225;15.9
1659331897.7818496;15.9
1659331897.7830749;15.9
1659331897.7843103;15.9
1659331897.7855642;15.9
1659331897.7867937;15.9
1659331897.788021;15.9
1659331897.789261;15.9
1659331897.790487;15.9
1659331897.791714;15.9
1659331897.7929995;15.9
1659331897.7960918;15.8
1659331897.7973697;15.8
1659331897.7986045;15.8
1659331897.7998376;15.8
1659331897.8010685;15.8
1659331897.8022974;15.8
1659331897.8035233;15.8
1659331897.8047583;15.8
1659331897.8060024;15.8
1659331897.8072329;15.8
1659331897.8084621;15.8
1659331897.8096917;15.8
1659331897.8109205;15.8
1659331897.8121467;15.8
1659331897.8133705;15.8
1659331897.8145978;15.8
1659331897.8158257;15.8
1659331897.8170495;15.8
1659331897.818273;15.8
1659331897.819498;15.8
1659331897.8207235;15.8
1659331897.8219438;15.8
1659331897.8249292;15.8
1659331897.8263886;15.8
1659331897.8278608;15.8
1659331897.8292918;15.8
1659331897.8306074;15.8
1659331897.831852;15.8
1659331897.8330898;15.8
1659331897.8343284;15.8
1659331897.8355966;15.8
1659331897.8368328;15.8
1659331897.8380628;15.8
1659331897.8393025;15.8
1659331897.840605;15.8
1659331897.8418849;15.8
1659331897.843153;15.8
1659331897.844407;15.8
1659331897.8456564;15.8
1659331897.846887;15.8
1659331897.848119;15.8
1659331897.849349;15.8
1659331897.8505747;15.8
1659331897.8518012;15.8
1659331897.853027;15.8
1659331897.8542545;15.8
1659331897.8554864;15.8
1659331897.856716;15.8
1659331897.85795;15.8
1659331897.8591793;15.8
1659331897.8604105;15.8
1659331897.8616378;15.8
1659331897.8628674;15.8
1659331897.8640978;15.8
1659331897.8653321;15.8
1659331897.8665633;15.8
1659331897.8677895;15.8
1659331897.8690162;15.8
1659331897.8702428;15.8
1659331897.8714697;15.8
1659331897.8726974;15.8
1659331897.873923;15.8
1659331897.8751526;15.8
1659331897.876384;15.8
1659331897.8776374;15.8
1659331897.8788655;15.8
1659331897.8800914;15.8
1659331897.8813174;15.8
1659331897.8825712;15.8
1659331897.8837996;15.8
1659331897.8850281;15.8
1659331897.886333;15.8
1659331897.8876717;15.8
1659331897.8889418;15.8
1659331897.8901799;15.8
1659331897.8931096;15.8
1659331897.894346;15.8
1659331897.895606;15.8
1659331897.8968444;15.8
1659331897.8980744;15.8
1659331897.8993027;15.8
1659331897.9005318;15.8
1659331897.9017832;15.8
1659331897.9030104;15.8
1659331897.9042344;15.8
1659331897.9054618;15.8
1659331897.906702;15.8
1659331897.9079292;15.8
1659331897.9091954;15.8
1659331897.9104533;15.8
1659331897.9116871;15.8
1659331897.912918;15.8
1659331897.914151;15.8
1659331897.9153793;15.8
1659331897.916608;15.8
1659331897.9178374;15.8
1659331897.9190638;15.8
1659331897.9202871;15.8
1659331897.9215086;15.8
1659331897.9227471;15.8
1659331897.9239845;15.8
1659331897.9252326;15.8
1659331897.9264665;15.8
1659331897.927695;15.8
1659331897.9289236;15.8
1659331897.9301498;15.8
1659331897.9313748;15.8
1659331897.9325998;15.8
1659331897.9338248;15.8
1659331897.935049;15.8
1659331897.9362736;15.8
1659331897.9374974;15.8
1659331897.9387329;15.8
1659331897.9400272;15.8
1659331897.9413176;15.8
1659331897.942563;15.8
1659331897.9437923;15.8
1659331897.9450283;15.8
1659331897.9462643;15.8
1659331897.9474933;15.8
1659331897.948719;15.8
1659331897.9499435;15.8
1659331897.9511695;15.8
1659331897.9523942;15.8
1659331897.9536207;15.8
1659331897.9548447;15.8
1659331897.9560697;15.8
1659331897.9572957;15.8
1659331897.9585273;15.8
1659331897.9597564;15.8
1659331897.9609802;15.8
1659331897.9622066;15.8
1659331897.963439;15.8
1659331897.964665;15.8
1659331897.9658914;15.8
1659331897.9671166;15.8
1659331897.9683418;15.8
1659331897.969565;15.8
1659331897.9707897;15.8
1659331897.9720156;15.8
1659331897.97324;15.8
1659331897.9744651;15.8
1659331897.9756947;15.8
1659331897.9769201;15.8
1659331897.9781458;15.8
1659331897.9793727;15.8
1659331897.9806008;15.8
1659331897.9818254;15.8
1659331897.9830496;15.8
1659331897.9842746;15.8
1659331897.9855013;15.8
1659331897.9884222;15.9
1659331897.9896526;15.9
1659331897.990878;15.9
1659331897.9921012;15.9
1659331897.9933262;15.9
1659331897.9945529;15.9
1659331897.9957786;15.9
1659331897.9970036;15.9
1659331897.998229;15.9
1659331897.9994535;15.9
1659331898.0006778;15.9
1659331898.001899;15.9
1659331898.003122;15.9
1659331898.0043473;15.9
1659331898.0056;15.9
1659331898.0068254;15.9
1659331898.0080516;15.9
1659331898.009276;15.9
1659331898.0105004;15.9
1659331898.0117233;15.9
1659331898.0129478;15.9
1659331898.0141716;15.9
1659331898.0154002;15.9
1659331898.0166268;15.9
1659331898.017851;15.9
1659331898.0190766;15.9
1659331898.0203009;15.9
