MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17510.426870601;-1.863;0.504;0.145;0.230;-0.197;0.972;-0.089;-0.115;-0.002;-0.485;0.561;13.421;-0.310;-0.816;-1.567;-0.001;-0.016;0.005;0.325;0.172;10.270;-104.100;-134.300;-308.800
17510.440869708;-1.817;0.527;0.153;0.230;-0.193;0.976;-0.089;-0.126;-0.005;-0.497;0.575;13.418;-0.310;-0.816;-1.567;-0.002;-0.017;0.004;0.330;0.165;10.229;-104.000;-133.700;-309.000
17510.454753113;-1.847;0.542;0.137;0.233;-0.196;0.972;-0.088;-0.119;-0.003;-0.497;0.555;13.398;-0.311;-0.818;-1.570;-0.006;-0.010;0.008;0.342;0.167;10.284;-103.900;-134.200;-308.400
17510.468416781;-1.809;0.550;0.153;0.227;-0.195;0.974;-0.091;-0.116;-0.003;-0.478;0.587;13.212;-0.311;-0.818;-1.570;-0.003;-0.007;0.007;0.352;0.160;10.263;-103.200;-132.600;-308.000
17510.48193347;-1.840;0.534;0.168;0.225;-0.192;0.971;-0.084;-0.120;-0.006;-0.421;0.553;13.274;-0.312;-0.811;-1.565;0.000;-0.011;0.006;0.275;0.139;10.225;-103.000;-134.700;-309.000
17510.495437733;-1.817;0.550;0.145;0.231;-0.195;0.973;-0.089;-0.124;0.001;-0.474;0.599;13.113;-0.312;-0.807;-1.566;-0.009;-0.019;0.003;0.275;0.163;10.253;-103.900;-133.500;-308.400
17510.508927405;-1.832;0.527;0.137;0.229;-0.199;0.972;-0.090;-0.122;-0.003;-0.534;0.574;13.229;-0.312;-0.807;-1.566;-0.008;-0.013;0.003;0.321;0.170;10.272;-103.500;-133.500;-308.600
17510.522450205;-1.832;0.550;0.160;0.230;-0.196;0.971;-0.091;-0.115;0.003;-0.486;0.528;13.339;-0.313;-0.800;-1.562;-0.001;-0.017;0.005;0.345;0.165;10.268;-105.000;-132.800;-308.500
17510.535956024;-1.832;0.557;0.145;0.227;-0.190;0.956;-0.089;-0.116;-0.005;-0.485;0.464;13.394;-0.313;-0.800;-1.562;-0.005;-0.012;0.006;0.301;0.136;10.253;-103.200;-134.100;-310.500
17510.549447658;-1.847;0.542;0.115;0.224;-0.190;0.967;-0.089;-0.118;-0.002;-0.555;0.460;13.254;-0.315;-0.805;-1.569;0.002;-0.016;0.003;0.309;0.141;10.189;-103.500;-132.300;-311.000
